outer_target_code	source_regime_id	source_mic_supervision_status	model_kind	support_budget_percent	query_id	held_out_antibiotic	seed_count	observations_mean_across_seeds	rmse_mean_across_seeds	rmse_sd_across_seeds	mae_mean_across_seeds	mae_sd_across_seeds	r2_mean_across_seeds	r2_sd_across_seeds	pearson_mean_across_seeds	pearson_sd_across_seeds	spearman_mean_across_seeds	spearman_sd_across_seeds	one_tier_accuracy_mean_across_seeds	one_tier_accuracy_sd_across_seeds
kp	se_to_kp	source_unseen	source_pretrained_few_shot	5	drug_held_out__tobramycin	tobramycin	3	3035.0	1.4994233630580933	0.038084675661294524	1.2925025739156237	0.07880512605536259	0.2237160119545013	0.03969694710066296	0.5091074557150536	0.007326352616215002	0.4953328186811942	0.00840770192219745	0.3537616694124108	0.10110025140835634
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__amikacin	amikacin	3	3816.0	1.7813997685800844	0.06649212637992236	1.3944301297595292	0.05162649524050819	-0.005408497486236966	0.07518723485798295	0.3961613466688935	0.02347394574749727	0.47068126242996494	0.023106632140699884	0.4229559748427672	0.024961293647861784
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__aztreonam	aztreonam	3	3291.0	1.5371439951445438	0.009001209163423429	1.0697718833423273	0.056879040396983466	0.2659997042920242	0.008588636615967092	0.5423148570724848	0.012128481584597294	0.46422514334487475	0.05076796415712863	0.6481312670920693	0.03323612011880968
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__cefepime	cefepime	3	3458.0	2.905883235662502	0.13209147551410202	2.2916615610755158	0.1504052411054154	-0.8789539546994466	0.16835457945254367	0.4178093257590518	0.006040830449844903	0.2791108020844097	0.007135712054792638	0.21978021978021975	0.03481882253370733
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__cefmetazole	cefmetazole	3	794.0	3.1301399650411006	0.0833622088535873	2.848631520940915	0.06789007291586002	-0.28448192583910875	0.06821116657136951	0.17056924256910058	0.02569302014740021	0.15668159477285443	0.0396486623968657	0.10075566750629716	0.013622989705783378
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__cefotaxime	cefotaxime	3	2099.0	2.5482412996939257	0.09275428966541384	2.0022447066248756	0.1442638835171946	0.0049637644024140976	0.07308514890892745	0.47310712409097894	0.035173728652106565	0.1490312215172802	0.057697472300339385	0.34969032872796574	0.05166657660326591
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__cefuroxime	cefuroxime	3	3110.0	1.7761078693528878	0.11822936360653055	1.4641961968596728	0.14919654448566633	-0.13013581006925423	0.15289347612617182	0.4051168465662616	0.010289851261792729	0.4060772360734461	0.013467526880733943	0.3620578778135048	0.08366062697337319
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__imipenem	imipenem	3	3423.0	2.513666948642025	0.23132740815435046	2.1688642064511217	0.1779411265103738	-0.1406789789908069	0.2123993095294981	0.49054908555126747	0.05398133309600996	0.5416854985532427	0.0416071398069344	0.21930080825786338	0.027087877924960493
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__levofloxacin	levofloxacin	3	2984.0	1.831742037201946	0.02276148755923031	1.324596114496603	0.0370394313085794	0.10694362053019542	0.022266513572006347	0.77155814832217	0.01124162169580158	0.7431567417527134	0.013688419249636645	0.5465817694369973	0.011079272958992335
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__minocycline	minocycline	3	1237.0	1.618328221487305	0.0391584353786363	1.3188437767601886	0.037298299702120646	-0.051622363393095665	0.05094726479110469	0.35811641534613853	0.030295934759427334	0.3714273955382965	0.03156152892242282	0.4327674481271894	0.02577201557849128
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__tigecycline	tigecycline	3	2001.0	3.190176959601825	0.12015621937228037	2.8905737826114453	0.11660459854067691	-6.968401212463912	0.6061604007137729	0.07618140876100539	0.003107630793992851	0.06949628538584647	0.0015703444217892706	0.08512410461435943	0.013496337898070367
kp	se_to_kp	source_unseen	source_pretrained_few_shot	10	drug_held_out__tobramycin	tobramycin	3	3035.0	1.487951125467668	0.019410813068177858	1.2844485513469073	0.048165378393436147	0.23579137087553037	0.01999922960384367	0.5161475118409387	0.005715503695193	0.5170176733730333	0.002986717698589936	0.35442064799560685	0.0633462622233066
se			target_only_full_support	100	drug_held_out__ampicillin	ampicillin	3	7975.0	2.591973898194342	0.020510433998188575	1.88759013217071	0.04060361228698738	0.20549104232210466	0.012552947780603986	0.515544861274063	0.0065423802513323165	0.19771813639946745	0.026023085567633403	0.3882131661442006	0.1374891182351587
se			target_only_full_support	100	drug_held_out__cefoxitin	cefoxitin	3	7603.0	3.3754031022139386	0.4514967018896484	3.2109514843317934	0.472730984049623	-3.6529959865090387	1.2744374109841192	0.7818082667779422	0.002830566617272655	0.41499854964369104	0.01794032713485723	0.03419702748914896	0.02229334639540416
se			target_only_full_support	100	drug_held_out__ceftazidime	ceftazidime	3	588.0	3.438910204998578	0.011943491457650678	2.763817858060742	0.033719787093005785	-0.5715108869851871	0.010926707016358046	0.629824966855049	0.014428893870875904	0.5980016558720966	0.00858201852453561	0.29308390022675734	0.03960552942110783
se			target_only_full_support	100	drug_held_out__ceftriaxone	ceftriaxone	3	7944.0	2.9054618777376273	0.24049289323012232	2.64822382944098	0.22433476571534805	-0.19436799476107317	0.19403436909345012	0.8135295825399144	0.027168714633380737	0.4410079926800738	0.011510071796558458	0.08173883853642157	0.008997055069818542
se			target_only_full_support	100	drug_held_out__chloramphenicol	chloramphenicol	3	7760.0	2.7970477669159037	0.35589092510853354	2.5707232487410363	0.3601180037196923	-3.940109333183304	1.2872871220653885	0.3024424200135163	0.026001006047279396	0.2272944091647856	0.0143626959769765	0.06408934707903777	0.020647665234598798
se			target_only_full_support	100	drug_held_out__ciprofloxacin	ciprofloxacin	3	9087.0	7.151425393542216	0.8213829330012854	6.8564295900394505	0.8312510622119839	-8.81457060482207	2.1893162168592895	0.257117799197581	0.02209122872315148	0.06932989083447183	0.03912392312911717	0.0216059572282748	0.015619872322625997
