outer_target_code	source_regime_id	model_kind	support_budget_percent	normalized_antibiotic	fold_count	observations_mean_across_folds	rmse_mean_across_folds	rmse_sd_across_folds	mae_mean_across_folds	mae_sd_across_folds	r2_mean_across_folds	r2_sd_across_folds	pearson_mean_across_folds	pearson_sd_across_folds	spearman_mean_across_folds	spearman_sd_across_folds	one_tier_accuracy_mean_across_folds	one_tier_accuracy_sd_across_folds
ec		target_only_scratch	10	tigecycline	5	746.8	0.861844037805852	0.02907837596501391	0.5627401922729485	0.022943410648953024	-0.40091255249075985	0.0605037642505881	0.19862785552355613	0.02610531346513039	0.1979330750155402	0.022104444540295157	0.8228024400252185	0.01650937975412025
ec		target_only_scratch	10	tobramycin	5	603.8	1.2880875169021475	0.059863796819672146	1.013935005705254	0.0423740452156752	0.2698904306619479	0.03626742587061956	0.5267099945483387	0.033005557427027224	0.3970137504567094	0.061330747790059266	0.6154151777735845	0.022957190701600443
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	amikacin	5	848.4	1.1559700859613522	0.022318480871696175	0.8957992451130913	0.024921912395758753	-0.6741935769832805	0.11528376500041437	0.2900546130405158	0.03214713228097172	0.19868519474246032	0.027201017690254653	0.6370240423435637	0.03648576303918432
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	ampicillin	5	343.0	2.1790029321411346	0.20707410376571467	1.4490566794737898	0.0947171160074003	0.2680166398935272	0.04873080668880917	0.6376574732166723	0.03566840115654533	0.5879374782096692	0.026238860911083565	0.45461613216715246	0.05649678064072515
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	aztreonam	5	556.4	1.773709827796201	0.03520928399116288	1.3138360798198436	0.03824345505885618	0.21730375358783321	0.03985911837556138	0.6370208791191299	0.016081385719196276	0.6278188032665958	0.018796632319504576	0.51965741066228	0.008021028598260429
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	cefepime	5	666.6	2.2329466488380767	0.09248065382236315	1.7706657635442427	0.06301427621242713	0.16153253992030456	0.07352948440333955	0.5970528859615337	0.023392054273387173	0.5908069714894093	0.02629755144521359	0.30363722042882463	0.02987859062361709
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	cefmetazole	5	488.2	2.0907816376830817	0.028460273966796835	1.6775599587502519	0.022819183405843567	-0.01928373363360069	0.052344102534333754	0.3752565009761414	0.042101487267699585	0.28385716756949236	0.04542709090292436	0.35394778012448735	0.02043126098681694
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	cefotaxime	5	1098.0	3.0740292679113623	0.10173113461425991	2.1837428252393085	0.058429408233237556	0.5736003674548649	0.02098384106099019	0.7588176725540753	0.013250703037644961	0.7440953613164591	0.012200042748930764	0.32276867030965384	0.02504912487415242
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	cefoxitin	5	349.4	1.1924905052009906	0.038253713687057565	0.8817264966409158	0.017502374132291897	0.1856870387428327	0.050507273844847995	0.5529279584611715	0.02736486410597545	0.3577024504542161	0.04957986034294922	0.6847843655866579	0.012702937469455474
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	ceftazidime	5	1197.2	2.27979690067944	0.1120415472184213	1.6386918329821025	0.04310620855273924	0.40428512870744127	0.041487657023741895	0.695136214992389	0.021344279206816058	0.6959193510854769	0.007876171838445276	0.4375768302224676	0.006034927268938056
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	ceftriaxone	5	644.0	2.212877117262443	0.22767610021802984	1.4412899555503458	0.1475329813771031	0.5958768583812964	0.08745276923795701	0.8136619475505691	0.030199572549197928	0.7503716780772276	0.03104841901790633	0.5461697722567288	0.04810936692263484
ec	kp_plus_se_to_ec	source_pretrained_few_shot	1	cefuroxime	5	808.6	1.8061354162275918	0.07774964796192473	1.4356474598152138	0.04638755200190252	-0.18816853494834448	0.08662962186788395	0.3204061972628497	0.014865908863507611	0.24845715564941323	0.010012582529023387	0.4274055396429173	0.010473511788679436
