outer_target_code	source_regime_id	normalized_antibiotic	replicate_count	rmse_mean	rmse_sd	mae_mean	mae_sd	r2_mean	r2_sd	pearson_mean	pearson_sd	spearman_mean	spearman_sd	one_tier_accuracy_mean	one_tier_accuracy_sd	observations
kp	ec_to_kp	cefepime	3	2.1336308015239593	0.169706701472187	1.603600034819521	0.10277645346770636	-0.015847135132114668	0.16304826675705889	0.3077642625730044	0.10973124665315594	0.23545756040733465	0.1456996148835746	0.45382687487950646	0.08730993615428076	3458
kp	ec_to_kp	cefmetazole	3	2.6242908365061184	0.12424490117899806	2.0601450202346947	0.011252159147585856	0.09620987332627655	0.08658505552815868	0.4050946774857515	0.021556666689266982	0.30241006113424357	0.03061088216308537	0.327455919395466	0.06781153967743984	794
kp	ec_to_kp	cefotaxime	3	2.656044258126156	0.17145205732217636	1.8828370069177716	0.03255829042725113	-0.083053106987099	0.13922634045653004	0.3985923727924187	0.06496874968299757	0.29154403146692026	0.04443708376564741	0.37922820390662215	0.06418917076575213	2099
kp	ec_to_kp	cefoxitin	3	1.7036922549768319	0.10239294132879025	1.448856094037141	0.08417363402524244	-0.14809818464829763	0.13813525125331183	0.3407922777680498	0.10711364816111725	0.36070123496681533	0.13783384073982768	0.31173608638898775	0.0427321883945196	2809
kp	ec_to_kp	ceftazidime	3	2.599200209042855	0.09335331803354135	2.0970947465841054	0.2129350050065374	-0.48937678159420955	0.1078133633692424	0.4015064577951269	0.06796360850485067	0.366003573261583	0.11083393268659687	0.2680403408102938	0.11668271366683448	3834
kp	ec_to_kp	ceftriaxone	3	2.009967880402498	0.12022418129538312	1.3344444064639627	0.10118818411282607	-0.02221517997969767	0.12399729489169138	0.42300565464323675	0.056875130048166404	0.30302584802980176	0.09880269681579874	0.5727715877437326	0.09878950449453591	2872
kp	ec_to_kp	cefuroxime	3	2.2059947562542828	0.21958893491460957	1.9075738475892579	0.1513378961534346	-0.749763139148107	0.3531469061802013	0.29334387015043517	0.07441394989530654	0.3326327209673971	0.0686997481954542	0.2190782422293676	0.0215825658755959	3110
kp	ec_to_kp	ciprofloxacin	3	2.0470764290480976	0.24415252454514919	1.5670629883802247	0.25671569400429306	-0.1624590503887016	0.28410317903270127	0.4768564812102465	0.05413645181995484	0.4761862087011148	0.052907982834999714	0.41775264322596506	0.10292746988532131	4067
kp	ec_to_kp	imipenem	3	2.9934055835988946	0.3106796620793308	2.225281371498238	0.2844783554358932	-0.620099116347309	0.324823148538445	0.1887125541517649	0.14607809423694668	0.15514466610324662	0.22543313073917645	0.3834842730548252	0.08636241908732885	3423
kp	ec_to_kp	levofloxacin	3	1.5883808969152498	0.18873729560827646	1.2080373424567263	0.19345429282823717	0.32222798932856556	0.1645340700024615	0.6537134691512011	0.057073535732711955	0.5923537226542104	0.052318958452378724	0.5274798927613941	0.06339983061336607	2984
kp	ec_to_kp	meropenem	3	3.4040179028286524	0.21321436024023427	2.7062955240292763	0.16536338087738106	-0.16047836033167312	0.14258493746913217	0.3594003779975079	0.04785562626472437	0.33375685576517117	0.09975452936557935	0.26100037608123355	0.04593851895381319	5318
kp	ec_to_kp	minocycline	3	2.0600827417025624	0.017519489242470383	1.6312419388114971	0.01636990860332241	-0.7035205678151734	0.02899304553878972	0.3494587967756296	0.03989225049790554	0.36773820305347343	0.008746446660610618	0.39342495284289947	0.008491485452217064	1237
kp	ec_to_kp	tetracycline	3	2.025920872461828	0.43981733512698146	1.606074074312973	0.42480369055180417	-0.4740511846881185	0.6499720986102379	0.40590463270356736	0.09777234341810712	0.41621262999616276	0.10490963035388512	0.4078723074538974	0.1367346304939425	2151
kp	ec_to_kp	tigecycline	3	2.259775752839858	0.03709759514494882	1.9783512796935447	0.031205111599480022	-2.995211908921169	0.13058971486694765	-0.0420194074437058	0.022236678389042874	-0.039833660168174065	0.022484571025970297	0.19440279860069962	0.020355234237297678	2001
kp	ec_to_kp	tobramycin	3	1.7186860370838835	0.3473295925335401	1.3440631958627882	0.29651124639353177	-0.04723667578608327	0.4327213662020849	0.5381802431298507	0.06976690289031243	0.527736547768285	0.0735488994617462	0.4955518945634267	0.09298138770672477	3035
kp	se_plus_ec_to_kp	amikacin	3	2.071755577820677	0.15453160372525454	1.569043876483495	0.13932697271606395	-0.3636454444506327	0.19932557701603767	0.273368340167413	0.11098382405833049	0.1990607904031947	0.13935330556327047	0.43535988819007687	0.06571318314497025	3816
kp	se_plus_ec_to_kp	aztreonam	3	1.8439335257043166	0.07854307074918954	1.405471747770723	0.1010671453573063	-0.05748135313572441	0.09105155907732428	0.39353119613401355	0.03361478369344366	0.2992745805063464	0.02589573411256868	0.4774637901347108	0.0782047932683973	3291
kp	se_plus_ec_to_kp	cefepime	3	2.2001198028053253	0.10409735595206321	1.721643654737677	0.1399357458193529	-0.07721479232431556	0.10317235987147366	0.3362355986844632	0.0398608639223461	0.24625387319629113	0.04048576741036998	0.3947368421052631	0.07744585508318727	3458
kp	se_plus_ec_to_kp	cefmetazole	3	2.6095883802802633	0.09696671904703989	2.0861970156769005	0.060304023146738724	0.1068204560582523	0.06617193708996107	0.3786755204001444	0.05898015848206126	0.29947528956910974	0.02523073674296656	0.30940386230058775	0.029706195752031032	794
kp	se_plus_ec_to_kp	cefotaxime	3	2.9355592394626773	0.014200899963837188	2.1359616124915832	0.08348933612065186	-0.319358555194211	0.012753550958772383	0.4832955315875284	0.06358048339988982	0.26217772010970286	0.06235011513040615	0.35032555185008735	0.03556363180496429	2099
kp	se_plus_ec_to_kp	cefoxitin	3	2.1403922712876304	0.1771498474132615	1.7352089702312077	0.14610118902557012	-0.8160078226204083	0.30580105987273953	0.2385901808344871	0.07680899591094698	0.24661834559715387	0.10100727321591252	0.33807998101340925	0.019866932117644235	2809
kp	se_plus_ec_to_kp	ceftazidime	3	2.6343940860592006	0.1589863334182213	1.9879736047856078	0.19862830738973966	-0.5323801113534443	0.18566945935322404	0.4414174774549781	0.08283488683442707	0.38691190907404494	0.08082330231978424	0.34941749260998084	0.08269416218296423	3834
kp	se_plus_ec_to_kp	ceftriaxone	3	2.4029993590534295	0.1229957301649757	1.6032212045797758	0.15003973351303404	-0.46014046550639937	0.14721442512890506	0.5292815780832848	0.04508974098399387	0.2175888078533481	0.055253418370433745	0.5421309192200557	0.11097578335298809	2872
kp	se_plus_ec_to_kp	cefuroxime	3	2.1139101742032094	0.1943393218390488	1.8162696880415192	0.2338605129330531	-0.6051815004354545	0.29905364314970906	0.3143456435220973	0.03028700260423135	0.3405798705441754	0.023764268905591444	0.2646302250803858	0.08503531408902036	3110
kp	se_plus_ec_to_kp	ciprofloxacin	3	2.484862271704905	0.04618086847392939	1.8666791500624902	0.036102456035857926	-0.6971296113509878	0.06273040135814296	0.5467343137239892	0.0033108836119226702	0.5065918038715461	0.020917517692765335	0.3921809687730515	0.021900022182596984	4067
kp	se_plus_ec_to_kp	imipenem	3	3.2209821044958633	0.25926624764095335	2.464610835762413	0.21476721738374002	-0.8704722941061017	0.2962015345149603	0.2102916701937121	0.1774563158918033	0.21983169976920505	0.21054204500612847	0.3257376570260006	0.03114698622947741	3423
